date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
2020/04/13,112377100.0000,118.0320,5.614,4.9939,16.132,15.8312,130.1900,15.59,13.6038,34.188,35.6118,116.1060,4.684,4.2038,22.428,23.9416,130.4000,15.3636,13.3554,27.302,26.4816
2020/04/14,152882550.0000,139.7940,21.762,18.4374,37.554,36.7312,141.9780,11.788,9.0545,38.73,37.5116,138.4860,22.38,19.2755,38.894,39.0533,148.3760,17.976,13.7853,44.176,42.3954
2020/04/15,117885000.0000,148.4000,8.606,6.1562,39.4,36.1468,145.9660,3.988,2.8089,36.876,33.8033,142.0000,3.514,2.5374,35.532,33.3734,150.6260,2.25,1.5164,37.626,33.2973
2020/04/16,103289300.0000,143.3880,-5.012,-3.3774,32.548,29.3649,149.0420,3.076,2.1073,39.274,35.7791,141.3430,-0.657,-0.4627,34.677,32.5099,151.8900,1.264,0.8392,40.4484,36.2956
2020/04/17,65641150.0000,154.4560,11.068,7.7189,42.038,37.3944,150.7780,1.736,1.1648,36.178,31.5689,149.5320,8.189,5.7937,38.11,34.2033,154.9900,3.1,2.041,39.9536,34.7313
2020/04/20,73731850.0000,146.5400,-7.916,-5.1251,28.508,24.1528,149.2720,-1.506,-0.9988,19.082,14.657,142.4420,-7.09,-4.7415,26.336,22.6827,153.1140,-1.876,-1.2104,22.714,17.4187
2020/04/21,101045450.0000,146.0240,-0.516,-0.3521,6.23,4.4566,137.3440,-11.928,-7.9908,-4.634,-3.2639,134.7580,-7.684,-5.3945,-3.728,-2.692,150.6660,-2.448,-1.5988,2.29,1.5434
2020/04/22,71124150.0000,140.7960,-5.228,-3.5802,-7.604,-5.124,146.4220,9.078,6.6097,0.456,0.3124,137.7420,2.984,2.2143,-4.258,-2.9986,146.8000,-3.866,-2.5659,-3.826,-2.5401
2020/04/23,66183500.0000,145.5200,4.724,3.3552,2.132,1.4869,141.1260,-5.296,-3.6169,-7.916,-5.3113,140.6260,2.884,2.0938,-0.717,-0.5073,146.8000,0.0,0.0,-5.09,-3.3511
2020/04/24,66188050.0000,142.1620,-3.358,-2.3076,-12.294,-7.9595,145.0300,3.904,2.7663,-5.748,-3.8122,139.6360,-0.99,-0.704,-9.896,-6.618,146.1460,-0.654,-0.4455,-8.844,-5.7062
2020/04/27,103407200.0000,147.5220,5.36,3.7703,0.982,0.6701,159.7500,14.72,10.1496,10.478,7.0194,147.0000,7.364,5.2737,4.558,3.1999,159.8980,13.752,9.4098,6.784,4.4307
2020/04/28,76109800.0000,159.1280,11.606,7.8673,13.104,8.9739,153.8240,-5.926,-3.7095,16.48,11.9991,151.3380,4.338,2.951,16.58,12.3035,161.0000,1.102,0.6892,10.334,6.8589
2020/04/29,81079900.0000,158.0340,-1.094,-0.6875,17.238,12.2432,160.1020,6.278,4.0813,13.68,9.3429,156.6320,5.294,3.4981,18.89,13.714,160.6400,-0.36,-0.2236,13.84,9.4278
2020/04/30,142359250.0000,171.0380,13.004,8.2286,25.518,17.5357,156.3760,-3.726,-2.3273,15.25,10.8059,152.7000,-3.932,-2.5103,12.074,8.5859,173.9640,13.324,8.2943,27.164,18.5041
2020/05/01,162659050.0000,151.0000,-20.038,-11.7155,8.838,6.2169,140.2640,-16.112,-10.3034,-4.766,-3.2862,136.6080,-16.092,-10.5383,-3.028,-2.1685,154.5540,-19.41,-11.1575,8.408,5.7532
